Row Number (For Sorting),Title,Alt Title,Author,Year,City,City Cleaned,Country,Database,Record Number,Data Entry Event,Coordinates
40,הלכות שחיטות ובדיקות," ... עם הגהות והחרושים[!] שליקט ואסף הר""ר צבי בר יצחק (יעקב) ז""ל...","ווייל, יעקב בן יהודה",1692,פראג,Prague,,BHB,301999,BHB Export,"50.075538, 14.4378"
97,ספר טוב רואי : פירוש על שחיטות ובדיקות / Sefer Ṭov roʼi : perush ʿal sheḥiṭot u-vediḳot,,"גרין הוט, דוד בן נתן, המאה ה־17. David ben Nathan Gruenhut; Jacob ben Judah Weil",1702,Frankfort,Frankfurt,,WorldCat,1062088429,WorldCat Export V3,"50.1109221, 8.6821267"
148,סדר שחיטות ובדיקות / Seder sheḥiṭot u-vediḳot,,"ווייל, יעקב בן יהודה, 1390-1453, מחבר. Jacob ben Judah Weil; Shelomoh b  Mosheh Ṿelḥ;  Aharon b  Daṿid, ha-Levi;  Uri ben Aaron, ha-Levi",1704,Zalḳaṿi,Zhovkva,,WorldCat,1130236375,WorldCat Export V3,"50.058876, 23.973647"
49,שחיטות ובדיקות," של הגאון ... יעקב ווייל ... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק ...","ווייל, יעקב בן יהודה",1722,ברלין,Berlin,,BHB,130989,BHB Export,"52.520007, 13.404954"
52,שחיטות ובדיקות," ... עם הגהות גבול בנימין, אשר אסף וקבץ ... ר' בינימין וואלף ... ווינטרניץ ...","ווייל, יעקב בן יהודה",1723,פראג,Prague,,BHB,130990,BHB Export,"50.075538, 14.4378"
146,הלכות שחיטות ובדיקות עם פירוש ר׳ מאיר ב״ר יאקב ווראניקר מק״ק גלוגא. Hilkhot sheḥiṭot u-vediḳot ...,,Jacob ben Judah Weil; of Glogau Meir b  Jakob,1728,Zultsbakh,Sulzbach,,WorldCat,122713176,WorldCat Export V3,"49.833524, 7.336518"
60,שחיטות ובדיקות,של ... ר' יעקב ווייל ... עם הגהות והחדושים שליקט ויאסף [!] ... רבי צבי בר יצחק ...,"ווייל, יעקב בן יהודה",1746,[פיורדא],Furth,,BHB,323493,BHB Export,"49.477117, 10.988667"
61,שחיטות ובדיקות," ... עם הגהות גבול ישראל, אשר אסף וקבץ... ר' יעקב איילונבורג...","ווייל, יעקב בן יהודה",1749,אמשטרדם,Amsterdam,,BHB,302000,BHB Export,"52.3702157, 4.8951679"
62,שחיטות ובדיקות.," של ... מהר""י ווייל ... עם תוספת פירוש אהל ישראל, אשר ... חבר ... ר' ישראל זלה""ה שהי' אב""ד בק""ק קאפינהאגין ...","ווייל, יעקב בן יהודה",1751,זאלקווא.,Zhovkva,,BHB,323490,BHB Export,"50.058876, 23.973647"
63,שחיטות ובדיקות," ... עם ... פירוש ... אהל ישראל, אשר חיבר ... ישראל זצ""ל שהי' אב""ד בק""ק קאפינהאגן ... וכבר נדפס [וואנזיבעק תצ""ג] ... הדפסתי אותו מחדש בהסכמה ... מאדמ""ו ... ר' שואל [שאול לעווענשטאם] נר""ו אב""ד ור""מ דקהלתינו ...","ווייל, יעקב בן יהודה",1760,אמשטרדם,Amsterdam,,BHB,131000,BHB Export,"52.3702157, 4.8951679"
126,דיני שחיטות ובדיקות : של מהר״י ווייל : עמ תוספות פירוש אהל ישראל / Deni sheḥiṭot u-vediḳot : shel MaHaRI Ṿail : ʻim tosfot perush ohel Yiśraʼel,,"וײל, יעקב, active 15th century. Jacob ben Judah Weil;  Israel, of Copenhagen.",1762,Zholkva,Zhovkva,,WorldCat,122994160,WorldCat Export V3,"50.058876, 23.973647"
67,שחיטות ובדיקות.," ... עם הגהות מכתב אליהו, ה""ה ... ר' אליהו בהקדוש מוהר""ר מרדכי ז""ל שוחט ובודק ומוחזק דפה ק""ק זאלקווא יצ""ו, אשר אסף וקיבץ ... דינים והלכות פסוקות מהפוסקים ... ועיקר מספר ... שמלה חדשה ותבואות שור [מאת אלכסנדר סנדר ב""ר אפרים זלמן שור] ...","ווייל, יעקב בן יהודה",1767,זאלקווא.,Zhovkva,,BHB,131005,BHB Export,"50.058876, 23.973647"
