"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"122994160","דיני שחיטות ובדיקות : של מהר״י ווייל : עמ תוספות פירוש אהל ישראל / Deni sheḥiṭot u-vediḳot : shel MaHaRI Ṿail : ʻim tosfot perush ohel Yiśraʼel","וײל, יעקב, active 15th century. Jacob ben Judah Weil;  Israel, of Copenhagen.","Hebrew","book_printbook","","דפוס חיים דוד סג״ל, Zholkva : Defus Hayyim David Segal, 522 [1762]","","","2021-10-26 18:13"
"1087610428","Lekitat Yitshak Sefer lekitat Yitshak al dine shehitat ofot (...) va-yusam lifnehem pesak halakha (...) lifne daat ha-Pri megadim ve-Simla hadasha ve-kede she-kol shohet be-khol et yukhal lehahzir ota (...).","Jichak ben Eliezer of Munkács","Hebrew","book_printbook","","Ofen-Pesth Markus Ephr. Löwy 1843","","","2021-10-26 18:13"
"80870348","ʻOlat Yitsḥaḳ : hagahot ḥadashot ... ʻal sheḥiṭot u-vediḳot shel ... Yaʻaḳov Ṿayl.","Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.","Hebrew","book_printbook","","Frankfurt an der Oder : [publisher not identified], [1692]","","","2021-10-26 18:13"
"122852330","בדיקות : ... עם ההגהות ועם דיני ניקור הבשר לרש״י ... / Bediḳot.","Jacob ben Judah Weil","Hebrew","book_printbook","","דפוס יעקב בן נפתלי הכהן, Manṭovah : Defus Yaʻaḳov ben Naftali ha-Kohen, 320 [1560]","","","2021-10-26 18:13"
"1019127403","בדיקות : עם הגהות וסדר הבדיקה בדרך קצרה עם דיני ניקור הבשר לרש״י זצ""ל והגהות מבעל העטור זצל / Bediḳot : ʿim hagahot ṿe-seder ha-bediḳah be-derekh ḳetsarah ʿim dine niḳur ha-baśar le-Rashi zatsal ṿe-hagahot mi-Baʿal ha-ʿiṭur zatsal","Jacob ben Judah Weil;  Rashi;  Isaac ben Abba Mari","Hebrew","book_printbook","","בשם וע""י יוסף בכ""מר יעקב מפדובה, Manṭovah : be-shem ṿe-ʿa.y. Yosef b.k.m.r. Yaʿaḳov mi-Padivah, [1556]","","","2021-10-26 18:13"
"122960506","שחיטות ובדיקות : ... עמ תוספות פירוש באר אברהם אשר חפר ... אברהם בן פנחס לאווסיץ. Sheḥiṭot u-vediḳot : ... ʻim tosafot perush Beʼer Avraham ...","וײל, יעקב, active 15th century. Jacob ben Judah Weil; Abraham ben Pinkhos Lovsitz","Hebrew","book_printbook","","בדפוס ליב זוסמנש, Amsterdam : Bi-defus Leyb Zusmansh, 522 [1762]","","","2021-10-26 18:13"
"122771029","ספר שחיטות ובדיקות / Sefer Sheḥiṭot u-vediḳot","Jacob ben Judah Weil","Hebrew","book_printbook","","[חמו״ל, Polonaʼah : [Ḥ. mo. l.], [574, 1814]","","","2021-10-26 18:12"
"959580904","Sheḥiṭot u-vediḳot.","Moses, of Fürth.;  Jacob Moses, precentor and ne'eman of Mönchsroth.","Hebrew","book_printbook","","[Germany?], [not after 1814]","","","2021-10-26 18:12"
"959581422","Ḳitsur Sheḥiṭot u-vediḳot la-ḥazor kol [30] yom.","","Hebrew","book_printbook","","[between 1801? and 1815?]","","","2021-10-26 18:12"
"641241629","הלכות שחיטה Hilkhot sheḥiṭah.","Merad ben Yitsḥaḳ, ha-mevaḳer.; Shemuʼel.; Hebrew Manuscripts (Columbia University Libraries);","Hebrew","book_mss","","[Place of publication not identified], [15--]","","","2021-10-26 18:12"
"778249599","ספר זבחי שלמים : כולל הלכות שחיטות ובדיקות ... Sefer Zivḥe shelamim : kolel hilkhot sheḥitot u-vediḳot ...","Jakob Beck; Jacob ben Judah Weil","Hebrew","book_printbook","","Wien, 1839.","","","2021-10-26 18:12"
"778251597","[שחיטות ובדיקות : ... עם הגהות מוהר""ץ ועם הגהות חדשות שליקט מʹ יהודה בין יחזקאל ... ונקראו בית לחם יהודא]. [Sheḥiṭot u-vediḳot : ... ʻim hagahot Moharats ṿe-iʼm hagahot ḥadashot she-liḳeṭ M. Yehudah ben Yeḥezḳel ... ṿe-niḳreʼu Bet leḥem Yehuda.","Jacob ben Judah Weil; Yehudah ben Yeḥezḳel.; Ẓevi Hirsch Chajes","Hebrew","book_printbook","","[Zolkiew], [1693]","","","2021-10-26 18:12"
"552409251","Sheḥitot u-vediḳot shel ... Y. Ṿayl ... ʻim ... perush Ohel Yiśraʼel","Yaʻaḳov Ben-Yehudah Ṿail; Chajim ben Zebi Hirsch","Hebrew","book_printbook","","Fürth Chajim ben Zwi Hirsch [5]528 [1767/68]","","","2021-10-26 18:12"
"1130591972","‏זבחו זבחי צדק :‏ ‏שחיטות ובדיקות /‏ Zivḥu zivḥe tsedeḳ : Sheḥiṭot u-vediḳot","ווייל, יעקב בן יהודה, המאה ה-15, מחבר. Jacob ben Judah Weil;  Tsevi Hirsh ben Yitsḥaḳ Yaʿaḳov, of Kraków; Solomon ben Joseph Proops","Hebrew","book_printbook","","במצות המחור שלמה בן כהר""ר יוסף כ""ץ זצ""ל פרופס,‏ Nidpas be-Amśṭerdam : be-mitsvat ha-baḥur Shelomoh ben ke.ha-r.R. Yosef Kats z.t.l. Prups, 462 [1701 or 1702]","","","2021-10-26 18:12"
"778428243","Sheḥiṭot","Yaʿaḳov Ben-Yehudah Ṿail;","Yiddish","book_mic","","Prag [ca. 1640]","","","2021-10-26 18:12"
"35730511","Tsofnat Paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳot ha-sakin","Yosef ben Shelomoh Finḳelshṭein","Hebrew","book_printbook","","Pesṭ : Itsiḳ Roshpits oder Noṭhon, 605 [1844 or 1845]","","","2021-10-26 18:12"
"502437187","ספר זבחי שלמים : הלכות שחיטות ובדיקות ... \ Sefer Zivḥe shelamim : hilkhot sheḥiṭot u-vediḳot ...","Yaʻaḳov ben Ḥanokh Bak; Yozef Ḳarl Nayman","Hebrew","book_printbook","","געדרוקט בייא יאזעף קארל נייאמאן ..., Brin [i.e. Brno] : Gedruḳt bay Yozef Ḳarl Nayman ..., 555 [1794 or 1795]","","","2021-10-26 18:12"
"122871298","שחיטות : עם הגהות ... עם סדר השחיטה בדרך קצרה ; בדיקות : עם הגהות וסדר הבדיקה בדרך קצרה עם דיני ניקור הבשר לרש״י זצ״ל והגהות מבעל העטור / Sheḥiṭot.","Jacob ben Judah Weil;  Isaac ben Abba Mari","Hebrew","book_printbook","","[בשם יוסף בכמר יעקב מפדובה, Manṭovah : [Be-shem Yosef [ben] Yaʻaḳov mi-Padovah], [323 i.e. 1563]","","","2021-10-26 18:12"
